1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10, http://dbpedia.org/ontology/Swimmer, no results,
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2, http://dbpedia.org/ontology/Mountain,0.05,
12125836_0_1134348206297032434, http://dbpedia.org/ontology/RadioStation,0.01,
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5, http://dbpedia.org/ontology/PoliticalParty,0.001,
24859353_0_7027810986004269522, http://dbpedia.org/ontology/Currency, no results,
41839679_0_3009344178474568371, http://dbpedia.org/ontology/Monarch,0.005,
29414811_13_8724394428539174350, http://dbpedia.org/ontology/VideoGame,0.01,
  2066887_0_746204117268168398, http://dbpedia.org/ontology/Saint,0.01,
68779923_2_1000046510804975562, http://dbpedia.org/ontology/Country,0.01,
71137051_0_8039724067857124984, http://dbpedia.org/ontology/Bird,0.05,
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2, http://dbpedia.org/ontology/Cricketer, alpha outside the scope,Entity are linked to the wrong entities
64207896_0_3206705146602325658, http://dbpedia.org/ontology/Monarch,0.01,
55961337_0_6548713781034932742, http://dbpedia.org/ontology/Currency,0.01,Wrong classification. it should be Country and the algorithm classified it as Country
90593344_0_8311455501234425088, http://dbpedia.org/ontology/Mountain,0.05,
19654359_0_3020273135042459469, http://dbpedia.org/ontology/Airport,0.1,
54773498_0_4341462266113591159, http://dbpedia.org/ontology/Building,0.1,
39650055_5_7135804139753401681, http://dbpedia.org/ontology/Company, alpha outside the scope,"Entity are linked to people (e.g.  Allan Dell is Rugby Player, Aaron Dell is ice hockey player ). Which makes since. as a company such as Dell is named after the founder (Michael Dell). Another case is places are names after famous companies (e.g IBM rail station). Given that we are not performing advanced entity linking, this thing is expected to happen. While on the other hand, there are companies that from the knowledge graph does not have the class company (e.g. Marlboro) which has the classes (Place. Settlement. station. Infrastrucutre... ) Which is also due entity linking errors."
 8286121_0_8471791395229161598, http://dbpedia.org/ontology/Country,0.01,
77694908_0_6083291340991074532, http://dbpedia.org/ontology/Film,0.1,
70515524_0_5425995199745290007, http://dbpedia.org/ontology/Monarch, alpha outside the scope,"Entity linking problem, as a lot of them are not actually classified as Monach, but instead as athletes"
40534006_0_4617468856744635526, http://dbpedia.org/ontology/Wrestler,0.1,
34041816_1_4749054164534706977, http://dbpedia.org/ontology/Airport,0.1,
28423212_0_2742990779532526553, http://dbpedia.org/ontology/Company,0.05,
 5873256_0_7795190905731964989, http://dbpedia.org/ontology/Airline,0.01,
12183399_0_6725061928072492226, http://dbpedia.org/ontology/Country,0.01,
41648740_0_6959523681065295632, http://dbpedia.org/ontology/Country, alpha outside the scope,very small file and linked to a person and sport clubs
12151277_0_1262954734066545952, http://dbpedia.org/ontology/Hospital, no results,
74718406_0_3914457597478137388, http://dbpedia.org/ontology/Airport,0.1,
38390205_1_8150763005563658139, http://dbpedia.org/ontology/Hospital,0.05,
35188621_0_6058553107571275232, http://dbpedia.org/ontology/Film,0.05,
76373906_0_6904594838446307331, http://dbpedia.org/ontology/PoliticalParty,0.05,
 4501311_8_8306082458935575308, http://dbpedia.org/ontology/VideoGame,0.01,
38732532_0_1420803645394505878, http://dbpedia.org/ontology/Monarch,0.002,Was outside the alpha
12193237_0_8699643798888088574, http://dbpedia.org/ontology/Country,0.05,
 9686394_0_5980699488362107028, http://dbpedia.org/ontology/Airport,0.1,
64734047_0_5880705307495695536, http://dbpedia.org/ontology/Hospital,0.05,
73988811_0_2775758476756716904, http://dbpedia.org/ontology/Film,0.1,
40844462_1_6230938203735169234, http://dbpedia.org/ontology/Film,0.05,
77632062_0_2292892375652659825, http://dbpedia.org/ontology/City, alpha outside the scope,entity linking   
78005071_0_8643954006825971723, http://dbpedia.org/ontology/PoliticalParty,0.1,
53989675_0_8697482470743954630, http://dbpedia.org/ontology/Lake,0.01,
84548468_0_5955155464119382182, http://dbpedia.org/ontology/Film,0.1,
19361188_0_1640726405141876003, http://dbpedia.org/ontology/Mountain,0.1,
41819807_0_3139249984404131679, http://dbpedia.org/ontology/Lake,0.05,
76275868_0_4528346580716713695, http://dbpedia.org/ontology/Country,0.01,
43226272_0_5995103035300388365, http://dbpedia.org/ontology/Hospital,0.05,
24142265_0_4577466141408796359, http://dbpedia.org/ontology/VideoGame,0.01,
32051842_5_1757891723986774036, http://dbpedia.org/ontology/Museum,0.01,
63450419_0_8012592961815711786, http://dbpedia.org/ontology/Plant,0.1,
88732174_0_7321365014357502211, http://dbpedia.org/ontology/BaseballPlayer,0.1,
98312357_0_6395417306876145729, http://dbpedia.org/ontology/Monarch,0.005,
13719111_1_5719401842463579519, http://dbpedia.org/ontology/Bird,0.1,
39107734_2_2329160387535788734, http://dbpedia.org/ontology/Airport,0.1,
33401079_0_9127583903019856402, http://dbpedia.org/ontology/Person,0.4,Alpha was tuned manually
37856682_0_6818907050314633217, http://dbpedia.org/ontology/AdministrativeRegion, alpha outside the scope,Entity linking issue. most of them were actually linked to a country and to a sports team. which is understandable. 
74685423_0_8061289760697103949, http://dbpedia.org/ontology/Bird,0.1,
29021592_4_4348860179678308511, http://dbpedia.org/ontology/Monarch,0.1,
79966524_0_1484492112455633784, http://dbpedia.org/ontology/Animal, alpha outside the scope,Entity linking issue. a lot of them are actually linked to the class person rather than the class animal
 3887681_0_7938589465814037992, http://dbpedia.org/ontology/Lake, alpha outside the scope,A lot of them not linked to a lake. but instead to places. or the class person
 8009320_0_5507755752653817624, http://dbpedia.org/ontology/Country,0.01,
37541068_1_1156932518917623732, http://dbpedia.org/ontology/BaseballPlayer,0.1,
86297395_0_6919201319699354263, http://dbpedia.org/ontology/Country,0.01,
25404227_0_2240631045609013057, http://dbpedia.org/ontology/Film,0.1,
14380604_4_3329235705746762392, http://dbpedia.org/ontology/Company,0.1,
71840765_0_6664391841933033844, http://dbpedia.org/ontology/Lake,0.05,
39759273_0_1427898308030295194, http://dbpedia.org/ontology/Film,0.1,
12271141_0_8517913935669973086, http://dbpedia.org/ontology/Company,0.1,
47709681_0_4437772923903322343, http://dbpedia.org/ontology/VideoGame,0.01,
45073662_0_3179937335063201739, http://dbpedia.org/ontology/BaseballPlayer,0.1,
29414811_2_4773219892816395776, http://dbpedia.org/ontology/VideoGame,0.01,
  4444204_0_951426790527152756, http://dbpedia.org/ontology/City,0.026,Alpha was tuned manually
29412826_0_3422707769191426540, http://dbpedia.org/ontology/Museum,0.05,
